,title,comment
0,"비맥xx타를 능가하는 비타민B군 신제품이 나왔습니다 (육체피로, 정신피로, 구내염, 신경통에 구성 좋은 비타민B군)",비타민 b군 영양제들이 고약사님 덕에 엄청 뜨니 다른 좋은 제품들도 많이 나오네요. 소비자로서 아주 반가운 상황입니다!
1,"비맥xx타를 능가하는 비타민B군 신제품이 나왔습니다 (육체피로, 정신피로, 구내염, 신경통에 구성 좋은 비타민B군)","선생님 진짜 초창기부터 인사드리고 했는데 무한성장 선생님을 보니 제가 다 기쁘네요^^ 더욱 더 성장하시고 약을 다루는 최고의 유튜버가 되어주세요

요즘들어 약사님 의견 반영을 많이한 제품들이 많이 나오는거 같은데 개인적으로 가장 베스트도 해주시면 좋을거 같아요"
2,"비맥xx타를 능가하는 비타민B군 신제품이 나왔습니다 (육체피로, 정신피로, 구내염, 신경통에 구성 좋은 비타민B군)",좋은제품 나올때마다 믿을수 있는 약사님이 직접 업데이트 해주셔서 너~~~무 좋아요♡ 감사합니다!!!
3,"비맥xx타를 능가하는 비타민B군 신제품이 나왔습니다 (육체피로, 정신피로, 구내염, 신경통에 구성 좋은 비타민B군)","비맥스메타가 대박친건 사실상 고약사님이 역할이 매우컸습니다. 아무리 제품이 좋아도 
그게 발굴되서 
소비자들에게 알려지지 않으면 말짱도루묵인데 고약사님이 아니었다면 이렇게까지 입소문타고 기존 "
4,"비맥xx타를 능가하는 비타민B군 신제품이 나왔습니다 (육체피로, 정신피로, 구내염, 신경통에 구성 좋은 비타민B군)",약사님때문에 이거 알게 됐지만 역시 약사님때문에 구하기 힘들었어요. 종로 몇 몇 약국에 전화했는데 다 품절... 근데 우리 동네에 있었네요. 방금 구했습니다. 그간 비타민C와 비타민 D는 먹고 있었지만 비타민 B는 그리 신경쓰지 않았는데... 믿고 보는 고약사님!!!
5,"비맥xx타를 능가하는 비타민B군 신제품이 나왔습니다 (육체피로, 정신피로, 구내염, 신경통에 구성 좋은 비타민B군)",비타민B를 꼭 먹는 사람으로서 새로운 비B를 소개해주셔서 감사합니다(그런데 얼마 전에 비맥땡을 엄청 사왔네요 ㅠㅠ). 그런데 이건 꼭 식후에 먹으라고 하셨네요. 이전엔 소화에 별문제가 없다면 비타민B나 C는 식전에 먹는게 좋다고 하셨던 것 같아서요^^ 그리고 혹시.. 아주 고령 95세 노인이 밥맛이 좋아지고 기력을 회복하는데 추천할만한 영양제가 있을까요^^
6,"비맥xx타를 능가하는 비타민B군 신제품이 나왔습니다 (육체피로, 정신피로, 구내염, 신경통에 구성 좋은 비타민B군)",고약사님 덕분에 영양제 알차게 잘 골라먹구있어요!  비맥스도 계속사먹고있는데 이번에 한박스 더샀는데ㅜㅜ 다먹으면 바꿔야겠어용ㅎ 항상감사합니다!
7,"비맥xx타를 능가하는 비타민B군 신제품이 나왔습니다 (육체피로, 정신피로, 구내염, 신경통에 구성 좋은 비타민B군)","정말 감사합니다
저한테 꼭 필요한 제품같네요
언제나 수고많으시네요"
8,"비맥xx타를 능가하는 비타민B군 신제품이 나왔습니다 (육체피로, 정신피로, 구내염, 신경통에 구성 좋은 비타민B군)","늘 감사합니다.
비타민B를 식후에 섭취하다가 공복에 섭취하면 흡수율이
좋다고해서 공복에 섭취했는데…
두드러기가 올라오더라구요. 특히 무릎쪽으로 부어오르면서 열감이 생기구요.ㅠ.ㅠ"
9,"비맥xx타를 능가하는 비타민B군 신제품이 나왔습니다 (육체피로, 정신피로, 구내염, 신경통에 구성 좋은 비타민B군)",약사님 덕에 이 제품도 올해 대박나겠네요..ㅎㅎ
10,"비맥xx타를 능가하는 비타민B군 신제품이 나왔습니다 (육체피로, 정신피로, 구내염, 신경통에 구성 좋은 비타민B군)",안녕하세요. 유익한 영상에 도움 많이 받고 갑니다! 약사님 비타민b 영상보다가 궁금해졌는데 크롬+이노시톨 제품과 콜린+이노시톨 배합 제품은 어떤 차이가 있는 걸까요?? 차이를 몰라서 번갈아가며 먹고있는데 알려주시면 감사하겠습니다.!!
11,"비맥xx타를 능가하는 비타민B군 신제품이 나왔습니다 (육체피로, 정신피로, 구내염, 신경통에 구성 좋은 비타민B군)","영양제에 대한 많은 정보 주셔서 항상 감사합니다.^^
현재 케이투미네랄부스터 복용중입니다. 추가로 투엑스비듀얼 제품을 복용하여도
아연(Zn) 함량에 괜찮은가요?
케이투미네랄부터스터(글루콘산아연 20mg, 구리 0.8mg) + 투엑스비듀얼(산화아연 30mg, 아연으로서 24.1mg)"
12,"비맥xx타를 능가하는 비타민B군 신제품이 나왔습니다 (육체피로, 정신피로, 구내염, 신경통에 구성 좋은 비타민B군)",약사님! 혹시 센트롬 비타민 영양제와 소개해주신 제품을 함께 복용해도 괜찮은가요?
13,"비맥xx타를 능가하는 비타민B군 신제품이 나왔습니다 (육체피로, 정신피로, 구내염, 신경통에 구성 좋은 비타민B군)","간만에 왔습니다~
항상 꾸준한 영상 잘 보고 있습니다~
약사님 많이 피곤해 보이시는데 쉬시면서 하세요~"
14,"비맥xx타를 능가하는 비타민B군 신제품이 나왔습니다 (육체피로, 정신피로, 구내염, 신경통에 구성 좋은 비타민B군)","1년정도 ㅂㅁㅅ제품을 복용하고 나름 효과도 봤었는데 이제는 만성이 된것인지 효과가 떨어진다는 느낌을 받던 중 약사님 말씀 듣고 이제품으로 갈아타 봅니다.
새롭게 나왔다는 ㅂㅁㅅ메타비를 더 좋다고 새 영상 찍은것도 봤는데 시중 약국에서 판매가격이 많이 비싸서 (1.5배 이상?)이 제품으로 정했습니다."
15,"비맥xx타를 능가하는 비타민B군 신제품이 나왔습니다 (육체피로, 정신피로, 구내염, 신경통에 구성 좋은 비타민B군)","안녕하세요. 약사님. 평소 영상 잘 보고 있습니다. 다름이 아니라, 비타민 B에 대해서 현재 제 상황에 추가할 이유가 있는지 해서 질문 드리고 싶습니다. 

저는 20대 남성으로 ,현재 퓨어 원 한 알과 더불어, 퓨어 마그네슘으로 360mg, 나우 울트라오메가3로 3g, 비씨 3g, 재로우 msm 3g, 재로우 유산균 1알, 헬스오리진 피크노제놀을 100mg  씩 섭취하고 있습니다. "
16,"비맥xx타를 능가하는 비타민B군 신제품이 나왔습니다 (육체피로, 정신피로, 구내염, 신경통에 구성 좋은 비타민B군)",약사님~ 전에 영상에서  면역억제제 복용중인 사람은 강황을 주의해야 한다고 하셨었는데 이유를 알고싶습니다~
17,"비맥xx타를 능가하는 비타민B군 신제품이 나왔습니다 (육체피로, 정신피로, 구내염, 신경통에 구성 좋은 비타민B군)",좋은정보 감사합니다 ㅎㅎ
18,"비맥xx타를 능가하는 비타민B군 신제품이 나왔습니다 (육체피로, 정신피로, 구내염, 신경통에 구성 좋은 비타민B군)","항상 좋은 영상 잘보고 있습니다
궁금한게 있는데요, 비타민제나 영양제,칼슘제등 알약이 커서 넘기기 힘든 알약은 잘게 씹어서 섭취해도 영양,흡수율등 상관이 없는지요?"
19,"비맥xx타를 능가하는 비타민B군 신제품이 나왔습니다 (육체피로, 정신피로, 구내염, 신경통에 구성 좋은 비타민B군)",약사님께서 항상 좋은 정보 주셔서 감사하지만 한편으로는 이런 정보가 간접 광고가 되버려서 약국마다 비양심적인 가격으로 올려서 판매를 하고 있어요. 비맥스메타의 경우 60정짜리 2개 1세트를 7만원에 파는곳이 있고 또 어떤곳은 4만원에 팔기도 합니다. 어느 한곳은 왜이렇게 비싸냐고 따지니까 점점 가격을 낮춰서 말씀하시더라구요...정말 기분이 나빴습니다. 어디 길거리 약장사도 아니고 누군가에겐 비싸게 팔고 누군가에겐 싸게팔고 이런 부분은 정말 고쳐졌으면 합니다.
20,"비맥xx타를 능가하는 비타민B군 신제품이 나왔습니다 (육체피로, 정신피로, 구내염, 신경통에 구성 좋은 비타민B군)","안녕하세요 약사님 영상 감사합니다!
20대 수험생입니다.

아침 식전 : 유산균"
21,"비맥xx타를 능가하는 비타민B군 신제품이 나왔습니다 (육체피로, 정신피로, 구내염, 신경통에 구성 좋은 비타민B군)","광고 없어도 물건이 없었는데 광고 이후로
가격도 올려버렸네요...
애매했는데 이번 기회에 고약사님 믿고 갈아타봅니다호"
22,"비맥xx타를 능가하는 비타민B군 신제품이 나왔습니다 (육체피로, 정신피로, 구내염, 신경통에 구성 좋은 비타민B군)",임팩타민프리미엄 원스 라고 새로나왔는데 나중에 새로나온 비타민들 종합비교해주세요!!
23,"비맥xx타를 능가하는 비타민B군 신제품이 나왔습니다 (육체피로, 정신피로, 구내염, 신경통에 구성 좋은 비타민B군)","우물안 개구리마냥 비타민B 제품은 한때 광고많이 했던 
아로나X, 비콤X 가 좋다고 생각하고 사먹어왔던 1인인데.. 
유튜브보면서 이 두제품보다 훨씬 더 좋은 제품들이 많이 있다는걸 최근에야 알았어요 ㅋㅋ"
24,"비맥xx타를 능가하는 비타민B군 신제품이 나왔습니다 (육체피로, 정신피로, 구내염, 신경통에 구성 좋은 비타민B군)",불면증에 비타민B가 도움이 된다고 해서 시청하였습니다. 불면증 관련하여 말씀해 주신 제품 복용해도 될까요?
25,"비맥xx타를 능가하는 비타민B군 신제품이 나왔습니다 (육체피로, 정신피로, 구내염, 신경통에 구성 좋은 비타민B군)","헐 월요일에 저거 먹었는데 x스비듀얼 ㅋㅋㅋ 오랜만에 봤는데 추천을 해주시다니 감사합니다 그쪽 약사님도 추천을 해주셨거든요 ㅎㅎ 
약들약님 덕분에 이거저거 비교해보거나 어떤게 숫자가 높은지 나름 고민해보게되었습니다 ㅎㅎ 성분표?를 확인하게된것도 약들약님 덕분입니다"
26,"비맥xx타를 능가하는 비타민B군 신제품이 나왔습니다 (육체피로, 정신피로, 구내염, 신경통에 구성 좋은 비타민B군)","오메가3, 마그네슘, 비타민B군, 비타민D, 유산균, 비타민C를 챙겨먹으려고 하는데 
각각 추천해주시는 제품이 있을까요?
영양제를 이제 처음 접해서 부부가 같이 먹으려 하는데...아무런 정보가 없다보니 어떤 제품이 있는지 또 어떤게 좋은건지 모르겠네요 ㅠㅠ"
27,"비맥xx타를 능가하는 비타민B군 신제품이 나왔습니다 (육체피로, 정신피로, 구내염, 신경통에 구성 좋은 비타민B군)",고용량 비타민B의 부작용도 궁금합니다.
