타임스탬프,1. 종합비타민 등 영양제를 섭취한 경험이 있습니까?,1-1. 섭취하신 영양제 종류를 모두 골라주세요.,2. 종합비타민 등 영양제를 구매한 경험이 있습니까?,"3. 비타민B군 영양제를 섭취한 경험이 있습니까? (아로나민골드, 비맥스메타, 엑세라민비, 임팩타민, 벤포벨 등)",4. 비타민B군 영양제를 구매한 경험이 있습니까?,5. 어떤 상황에서 특히 건강을 잘 챙겨야겠다고 느끼십니까? (답변 필수는 아니지만 연구에 많은 도움이 됩니다.),6. 어떤 상황에서 특히 피로하다고 느끼십니까? (답변 필수는 아니지만 연구에 많은 도움이 됩니다.),1. 향후 비타민B군 영양제를 구매할 의향이 있으십니까?,1-1. 구매할 의향이 있다면 그 이유는 무엇입니까? (중복체크),1-2. 구매할 의향이 없다면 그 이유는 무엇입니까? (중복체크),2. 아로나민골드/아로나민골드프리미엄에 대해 알고 계십니까?,3. 아로나민골드/아로나민골드프리미엄 제품을 구매한 경험이 있습니까?,4. 향후 아로나민골드/아로나민골드프리미엄을 구매할 의향이 있으십니까?,5. 비맥스메타/비맥스액티브/엑세라민비/임팩타민프리미엄/벤포벨 제품을 구매한 경험이 있습니까?,"6. 비타민B군 영양제를 섭취한 경험이 있는 경우, 효과가 있다고 느끼셨습니까?","7. 비타민B군 영양제를 섭취한 경험이 있는 경우, 부작용이 있으셨습니까? (있는 경우 증상을 기타에 적어주세요)",1. 나는 비타민B군 영양제에 관심이 있다,2. 나에게 비타민B군 영양제는 중요하다,3. 나에게 비타민B군 영양제는 가치가 있다,4. 나에게 비타민B군 영양제는 유용하다,5. 내가 비타민B군 영양제를 섭취했다면 해당 영양제는 (누가) 구매했을 것이다,6. 내가 비타민B군 영양제를 구매한다면 (누가) 섭취하는 것으로 상정하고 구매할 것이다,1. 비타민 등을 구매할 때 중요하게 고려하는 사항은 무엇입니까? (중복허용),2. 비타민B군 영양제의 가격은 제품을 섭취/구매하는 데 있어 중요하게 작용한다,3. 비타민B군 영양제의 적정 가격 수준은 얼마라고 생각하십니까?,4. 비타민B군 영양제의 성분 및 함량은 제품을 섭취/구매하는 데 있어 중요하게 작용한다,5. 비타민B군 영양제의 브랜드 인지도 및 이미지는 제품을 섭취/구매하는 데 있어 중요하게 작용한다,6. 비타민B군 영양제를 약국에서만 구매할 수 있는 경우 구매할 의향이 있다 (온라인몰 등 불가),7. 비타민B군 영양제를 해외직구로 구매할 수 있는 경우 구매할 의향이 있다 ,1. 평소 일상적으로 사용하시는 항목을 모두 골라주세요,2. 평소 원하는 정보를 얻기 위해서 사용하시는 정보원을 모두 골라주세요,3. 나는 평소 제품을 구매할 때 제품의 특징을 면밀히 살펴보고 구매한다,4. 나는 평소 제품을 구매할 때 다른 제품과 비교해보고 구매한다,1. 나는 건강에 대해 관심이 많다,2. 나는 식사와 영양에 관심이 많다,3. 나는 식품을 구매할 때 포장지 뒷면의 영양성분표시 부분을 확인한다,4. 평소 운동을 얼마나 자주 하십니까? (30분 이상 숨 차는 강도),5. 본인이 건강을 위해 중요하다고 생각하고 실천 중인 건강관리 방법은 무엇입니까?,1. 나는 건강하다고 생각한다,2. 하루 평균 수면시간은 어떻게 되십니까?,3. 음주를 얼마나 자주 하십니까?,4. 커피를 얼마나 자주 마십니까?,5. 담배를 피우십니까?,5-1. 하루 평균 흡연량이 얼마나 되십니까?,"6. 현재 앓고 있는 질병이 있거나, 과거에 질병을 앓은 적이 있습니까?",1. 본인의 성별은?,2. 본인의 나이는?,3. 결혼 여부,4. 가구 수,5. 최종학력,6. 직업,7. 소득 수준 (주부의 경우 가구 소득 수준),
2022/06/07 2:57:19 오후 GMT+9,예 (1-1번으로 이동),비타민C;오메가3,예,아니오,아니오,평소에 보이지 않던 증상이 일주일이상 지속될때,하루 잠 6시간 이상 못잘 때,잘 모르겠음 (2번으로 이동),,,아니오,아니오,아니오,아니오,아니오,아니오,2,2,2,2,3,4,주변의 효과와 경험담 소개;제조사(상표) 신뢰도;원하는 성분과 그 함량;적정 가격,4,2~3만원 미만,5,4,3,2,유튜브;인스타그램;페이스북;TV시청;신문/뉴스포털,"유튜브;인스타그램;페이스북;포털사이트 (구글, 네이버, 다음 등);지인",5,4,4,3,4,주 1~2회,규칙적인 운동,4,6~8시간,한달에 1~2회,하루에 1잔,아니오 (6번으로 이동),,없다,남자,20대,미혼,3~5인 가구,대학교 졸업,학생,월 100만원 미만,
2022/06/07 2:57:49 오후 GMT+9,예 (1-1번으로 이동),"종합비타민;비타민C;비타민B;무기질 (마그네슘, 칼슘, 철분 등);오메가3;유산균;루테인, 지아잔틴 등 (눈 건강)",아니오,예,아니오,체력이 떨어짐을 느낄 때,특별한 상황이라기 보다 언제나,잘 모르겠음 (2번으로 이동),,,예,아니오,아니오,아니오,아니오,아니오,3,2,2,2,5,2,"주변의 효과와 경험담 소개;제품의 형태(알약, 분말, 액상, 발포형)",4,3~4만원 미만,2,4,1,3,유튜브;인스타그램;페이스북;TV시청,"유튜브;인스타그램;페이스북;포털사이트 (구글, 네이버, 다음 등);신문/뉴스포털",3,4,2,3,3,주 1~2회,규칙적인 운동,4,6~8시간,한달에 3~4회,하루에 1잔,아니오 (6번으로 이동),,없다,여자,20대,미혼,3~5인 가구,대학원,학생,소득 없음,
2022/06/07 2:59:05 오후 GMT+9,예 (1-1번으로 이동),"종합비타민;비타민C;비타민D;유산균;루테인, 지아잔틴 등 (눈 건강)",예,예,예,"체력이 예전같지 않을 때, 눈이 침침해짐을 느낄 때 ㅠ, 건강을 위해 뭐라도 해야할거 같은데 운동할 시간 없을 때",일어났을 때,예 (1-1번으로 이동),피로회복을 위해;건강 유지를 위해,,예,아니오,아니오,아니오,아니오,아니오,4,4,4,4,4,4,제조사(상표) 신뢰도,4,2~3만원 미만,4,4,4,1,인스타그램;페이스북,"포털사이트 (구글, 네이버, 다음 등)",4,5,4,5,5,거의 안한다,"좋은 식습관;규칙적인 생활;비타민, 무기질 등 영양제 섭취",3,5~6시간,한달에 1~2회,하루에 1잔,아니오 (6번으로 이동),,없다,여자,20대,미혼,3~5인 가구,대학교 졸업,사무직,월 300~400만원 미만,
2022/06/07 2:59:16 오후 GMT+9,예 (1-1번으로 이동),"종합비타민;비타민C;비타민D;비타민B;무기질 (마그네슘, 칼슘, 철분 등);오메가3;유산균;루테인, 지아잔틴 등 (눈 건강);밀크씨슬, 우루사 등 (간 건강)",예,예,예,,,예 (1-1번으로 이동),피로회복을 위해;일상의 활력 충전을 위해,,예,아니오,아니오,아니오,예,아니오,4,4,4,4,5,2,적정 가격,5,2~3만원 미만,3,2,3,2,유튜브;인스타그램;네이버카페,"포털사이트 (구글, 네이버, 다음 등)",4,5,4,4,5,주 1~2회,"규칙적인 운동;좋은 식습관;비타민, 무기질 등 영양제 섭취",2,5~6시간,전혀 마시지 않는다,하루에 1잔,아니오 (6번으로 이동),,있다,남자,20대,미혼,3~5인 가구,대학원,학생,월 100~200만원 미만,
2022/06/07 3:00:13 오후 GMT+9,예 (1-1번으로 이동),"종합비타민;비타민C;비타민D;비타민B;무기질 (마그네슘, 칼슘, 철분 등);오메가3;유산균;루테인, 지아잔틴 등 (눈 건강);밀크씨슬, 우루사 등 (간 건강)",예,예,예,수술 후,기초적인 운동을 할 시간조차 없어서 무기력 할 때,예 (1-1번으로 이동),피로회복을 위해;질병의 예방 및 치료를 위해;일상의 활력 충전을 위해;건강 유지를 위해,,예,예,예,예,예,아니오,4,3,4,3,4,2,"주변의 효과와 경험담 소개;제조사(상표) 신뢰도;제품의 표지 등에 표시된 제품 정보;원하는 성분과 그 함량;적정 가격;제품의 형태(알약, 분말, 액상, 발포형);판매처(온라인, 약국, 건강기능식품 매장, 해외직구 등)",3,1~2만원 미만,3,5,5,1,유튜브;네이버카페;TV시청;라디오 청취;신문/뉴스포털,"포털사이트 (구글, 네이버, 다음 등);지식인;TV시청;라디오 청취;신문/뉴스포털;지인",5,5,5,5,5,매일한다,규칙적인 운동;좋은 식습관;규칙적인 생활,4,6~8시간,한달에 3~4회,일주일에 1~3잔,아니오 (6번으로 이동),,있다,남자,20대,미혼,3~5인 가구,대학교 졸업,학생,,
2022/06/07 3:00:56 오후 GMT+9,예 (1-1번으로 이동),비타민C;비타민D;비타민B,예,예,예,부모님이 나이가 들어간다는 사실이 느껴질 때,잠을 많이 못 잤을 때,예 (1-1번으로 이동),피로회복을 위해;질병의 예방 및 치료를 위해;건강 유지를 위해,,예,아니오,아니오,예,예,아니오,4,4,4,4,4,4,원하는 성분과 그 함량,1,3~4만원 미만,4,1,4,1,유튜브,유튜브;TV시청;신문/뉴스포털,4,4,4,4,5,주 3~5회,규칙적인 운동;좋은 식습관;규칙적인 생활,4,5~6시간,한달에 1~2회,하루에 2잔 이상,아니오 (6번으로 이동),5개비 미만,없다,남자,20대,미혼,3~5인 가구,대학교 재학,전문직,소득 없음,
2022/06/07 3:00:59 오후 GMT+9,예 (1-1번으로 이동),비타민C,예,아니오,아니오,나이 서른에 점점 다가갈때,식곤증이 전보다 심해졌어용,아니오 (1-2번으로 이동),,챙기기 기찬타,예,아니오,아니오,아니오,아니오,아니오,4,2,1,2,4,2,주변의 효과와 경험담 소개;원하는 성분과 그 함량;적정 가격,5,1~2만원 미만,3,3,4,1,유튜브;인스타그램,"유튜브;포털사이트 (구글, 네이버, 다음 등)",4,5,5,4,1,주 1~2회,규칙적인 운동;좋은 식습관,3,6~8시간,한달에 1~2회,한달에 1~3잔,아니오 (6번으로 이동),,없다,남자,20대,미혼,3~5인 가구,고졸이하,쉿,소득 없음,
2022/06/07 3:01:01 오후 GMT+9,예 (1-1번으로 이동),"종합비타민;비타민C;오메가3;유산균;밀크씨슬, 우루사 등 (간 건강)",예,아니오,아니오,몸이 아프거나 주변사람들이 아프다는 말을 들었을 때,잠이 부족할 때,잘 모르겠음 (2번으로 이동),,,아니오,아니오,아니오,아니오,,,4,3,3,3,4,4,"원하는 성분과 그 함량;적정 가격;판매처(온라인, 약국, 건강기능식품 매장, 해외직구 등)",3,2~3만원 미만,3,3,4,2,유튜브;인스타그램,"유튜브;인스타그램;포털사이트 (구글, 네이버, 다음 등)",4,5,5,5,4,한달 1~2회 정도,"규칙적인 운동;좋은 식습관;규칙적인 생활;비타민, 무기질 등 영양제 섭취;정기적인 건강검진",4,6~8시간,한달에 1~2회,한달에 1~3잔,아니오 (6번으로 이동),,없다,여자,20대,미혼,3~5인 가구,대학교 재학,학생,소득 없음,
2022/06/07 3:01:45 오후 GMT+9,예 (1-1번으로 이동),"종합비타민;루테인, 지아잔틴 등 (눈 건강)",예,아니오,아니오,술먹고 다음날,겜할때 우리팀끼리 싸울때,예 (1-1번으로 이동),피로회복을 위해;건강 유지를 위해;가족/친척/지인의 권유에 의해,,아니오,아니오,아니오,아니오,아니오,아니오,3,3,3,3,3,3,주변의 효과와 경험담 소개;원하는 성분과 그 함량;적정 가격,3,4~5만원 미만,3,5,3,3,유튜브,"유튜브;포털사이트 (구글, 네이버, 다음 등);신문/뉴스포털;지인",3,3,4,4,4,주 1~2회,특별히 신경쓰지 않는다,3,6~8시간,일주일에 2~3회,일주일에 1~3잔,아니오 (6번으로 이동),,없다,남자,20대,미혼,3~5인 가구,대학교 졸업,프리랜서,월 200~300만원 미만,
2022/06/07 3:02:42 오후 GMT+9,예 (1-1번으로 이동),"비타민C;비타민D;비타민B;오메가3;루테인, 지아잔틴 등 (눈 건강);밀크씨슬, 우루사 등 (간 건강)",아니오,예,예,,8-9시쯤 되면 눈에 피로가 쌓이는 느낌이 듭니다.( 업무상 컴퓨터를 많이 사용),예 (1-1번으로 이동),일상의 활력 충전을 위해,,아니오,아니오,아니오,예,예,아니오,3,4,4,4,5,1,주변의 효과와 경험담 소개;적정 가격,4,2~3만원 미만,4,4,4,4,유튜브;인스타그램,"유튜브;인스타그램;포털사이트 (구글, 네이버, 다음 등)",3,4,4,3,1,거의 안한다,"특별히 신경쓰지 않는다;비타민, 무기질 등 영양제 섭취",4,6~8시간,한달에 3~4회,하루에 1잔,아니오 (6번으로 이동),,없다,남자,20대,미혼,1인 가구,대학교 졸업,학생,월 100만원 미만,
